OSD188_6_14_RI	OSD189_6_14_YNG	OSD190_6_14_KI	OSD191_6_14_DRW	OSD31_6_14_PH	OSD32_6_14_NSI	OSD33_6_14_MI
0.0159	0.0000	0.0000	0.0042	0.0000	0.0000	0.0000	Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Saprospiraceae;Saprospira;
0.1873	0.0384	0.1103	0.2770	0.3629	0.3064	0.0172	Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Saprospiraceae;uncultured;
0.0080	0.0000	0.0132	0.1343	0.0000	0.0038	0.0000	Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;uncultured;
0.0000	0.0000	0.0088	0.0000	0.0000	0.0000	0.0000	Bacteria;Bacteroidetes;WCHB1-32;
0.0040	0.0000	0.0000	0.0084	0.0000	0.0038	0.0000	Bacteria;Chlamydiae;Chlamydiae;Chlamydiales;Chlamydiaceae;uncultured;
0.0000	0.0000	0.0000	0.0042	0.0000	0.0000	0.0000	Bacteria;Chlamydiae;Chlamydiae;Chlamydiales;Chlamydiales Incertae Sedis;
0.0000	0.0000	0.0000	0.0042	0.0000	0.0000	0.0000	Bacteria;Chlamydiae;Chlamydiae;Chlamydiales;Parachlamydiaceae;
0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0344	Bacteria;Chlamydiae;Chlamydiae;Chlamydiales;Parachlamydiaceae;Candidatus Mesochlamydia;
0.0000	0.0000	0.0000	0.0042	0.0000	0.0000	0.0000	Bacteria;Chlamydiae;Chlamydiae;Chlamydiales;Parachlamydiaceae;Candidatus Protochlamydia;
0.0120	0.0000	0.0000	0.0042	0.0000	0.0000	0.0000	Bacteria;Chlamydiae;Chlamydiae;Chlamydiales;Parachlamydiaceae;Neochlamydia;
0.0000	0.0000	0.0000	0.0042	0.0000	0.0000	0.0000	Bacteria;Chlamydiae;Chlamydiae;Chlamydiales;Parachlamydiaceae;Parachlamydia;
0.0040	0.0000	0.0000	0.0042	0.0000	0.0000	0.0000	Bacteria;Chlamydiae;Chlamydiae;Chlamydiales;Simkaniaceae;
